age,balance,campaign,day,default_yes,duration,education,housing_yes,loan_yes,marital_married,marital_single,month_aug,month_dec,month_feb,month_jan,month_jul,month_jun,month_mar,month_may,month_nov,month_oct,month_sep,pdays,poutcome_not_contacted,poutcome_other,poutcome_success,previous
46,-246,2,5,0,255,secondary,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
36,265,1,5,0,348,secondary,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
57,839,1,5,0,225,secondary,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
49,378,1,5,0,230,tertiary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
60,39,1,5,0,208,secondary,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
59,0,1,5,0,226,secondary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
51,10635,1,5,0,336,tertiary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
57,63,1,5,0,242,secondary,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
25,-7,1,5,0,365,secondary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
53,-3,1,5,0,1666,secondary,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
36,506,1,5,0,577,secondary,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
37,0,1,5,0,137,secondary,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
44,2586,1,5,0,160,secondary,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
50,49,2,5,0,180,secondary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
54,529,1,5,0,1492,secondary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
36,-171,1,5,0,242,primary,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
58,-364,1,5,0,355,tertiary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
44,0,2,5,0,225,secondary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
55,0,1,5,0,160,secondary,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
29,0,1,5,0,363,tertiary,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
54,1291,1,5,0,266,secondary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
48,-244,1,5,0,253,tertiary,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
32,0,1,5,0,179,tertiary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
42,-76,1,5,0,787,secondary,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
24,-103,1,5,0,145,secondary,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
38,243,1,5,0,174,tertiary,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
38,424,1,5,0,104,tertiary,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
46,179,1,5,0,1778,primary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
32,0,1,5,0,138,tertiary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
53,989,1,5,0,812,secondary,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
57,249,1,5,0,164,primary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
33,790,1,5,0,391,secondary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
51,6530,1,5,0,91,tertiary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
60,100,1,5,0,528,tertiary,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
59,59,1,5,0,273,tertiary,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
55,1205,2,5,0,158,secondary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
35,12223,1,5,0,177,secondary,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
57,5935,1,5,0,258,secondary,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
31,25,1,5,0,172,secondary,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
54,282,1,5,0,154,secondary,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
55,23,1,5,0,291,primary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
43,1937,1,5,0,181,secondary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
53,384,1,5,0,176,secondary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
44,582,1,5,0,211,secondary,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
55,91,1,5,0,349,secondary,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
49,0,1,5,0,272,secondary,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
55,1,1,5,1,208,secondary,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
45,206,1,5,0,193,secondary,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
47,164,1,5,0,212,secondary,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
42,690,1,5,0,20,secondary,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
59,2343,1,5,0,1042,secondary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
46,137,1,5,0,246,tertiary,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
51,173,2,5,0,529,primary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
56,45,1,5,0,1467,secondary,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
41,1270,1,5,0,1389,secondary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
46,16,2,5,0,188,secondary,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
57,486,2,5,0,180,secondary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
42,50,1,5,0,48,secondary,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
30,152,2,5,0,213,secondary,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
60,290,1,5,0,583,secondary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
57,-37,1,5,0,173,secondary,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
36,101,1,5,0,426,tertiary,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
55,383,1,5,0,287,secondary,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
60,81,1,5,0,101,tertiary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
39,0,1,5,0,203,secondary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
46,229,1,5,0,197,tertiary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
44,-674,1,5,0,257,secondary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
53,90,1,5,0,124,primary,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
52,128,1,5,0,229,primary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
59,179,3,5,0,55,primary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
27,0,1,5,0,400,tertiary,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
44,54,1,5,0,197,secondary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
47,151,1,5,0,190,tertiary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
34,61,1,5,0,21,secondary,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
59,30,1,5,0,514,secondary,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
45,523,2,5,0,849,tertiary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
29,31,1,5,0,194,secondary,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
46,79,1,5,0,144,secondary,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
56,-34,2,5,0,212,primary,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
36,448,1,5,0,286,primary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
59,81,1,5,0,107,primary,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
44,144,2,5,0,247,secondary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
41,351,1,5,0,518,secondary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
33,-67,1,5,0,364,tertiary,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
59,262,1,5,0,178,tertiary,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
57,0,1,5,0,98,primary,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
51,26,1,5,0,79,secondary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
43,41,2,5,0,127,secondary,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
52,7,1,5,0,175,tertiary,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
33,105,2,5,0,262,secondary,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
29,818,1,5,0,61,secondary,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
34,-16,1,5,0,78,secondary,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
31,0,1,5,0,143,secondary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
55,2476,1,5,0,579,secondary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
32,217,1,5,0,345,secondary,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
38,1685,1,5,0,185,secondary,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
55,802,2,5,0,100,secondary,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
28,0,2,5,0,125,tertiary,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
23,94,1,5,0,193,secondary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
32,0,1,5,0,136,secondary,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
32,517,1,5,0,528,secondary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
46,265,1,5,0,541,secondary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
53,947,1,5,0,163,primary,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
34,3,1,5,0,301,secondary,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
57,42,1,5,0,46,tertiary,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
37,37,1,5,0,204,secondary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
59,57,1,5,0,98,secondary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
33,22,1,5,0,71,secondary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
56,8,2,5,0,157,primary,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
48,293,1,5,0,243,secondary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
43,3,2,5,0,186,primary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
54,348,2,5,0,579,primary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
26,0,2,5,0,610,secondary,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
40,-4,1,5,0,2033,tertiary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
39,18,1,5,0,85,secondary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
50,139,2,5,0,114,primary,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
41,0,2,5,0,114,secondary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
60,216,1,5,0,238,secondary,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
52,782,3,5,0,93,secondary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
48,904,2,5,0,128,secondary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
39,47,1,5,0,181,tertiary,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
47,176,2,5,0,303,secondary,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
40,1225,5,5,0,558,secondary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
45,86,1,5,0,270,secondary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
26,82,1,5,0,228,secondary,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
52,271,1,5,0,99,tertiary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
54,1378,1,5,0,240,secondary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
54,184,2,5,0,673,tertiary,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
50,0,3,5,0,233,primary,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
35,0,1,5,0,1056,secondary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
44,1357,1,5,0,250,secondary,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
35,434,1,5,0,138,primary,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
60,92,1,5,0,130,secondary,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
53,1151,1,5,0,412,secondary,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
48,41,2,5,0,179,secondary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
34,51,2,5,0,19,secondary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
54,214,2,5,0,458,secondary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
51,1161,1,5,0,717,secondary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
31,37,1,5,0,313,tertiary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
35,787,2,5,0,683,secondary,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
35,59,1,5,0,1077,secondary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
38,253,1,5,0,416,secondary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
36,211,2,5,0,146,tertiary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
58,235,1,5,0,167,primary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
54,4080,1,5,0,140,secondary,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
34,53,1,5,0,346,secondary,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
31,0,1,5,0,562,tertiary,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
51,2127,1,5,0,172,secondary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
33,377,1,5,0,217,tertiary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
55,73,2,5,0,142,tertiary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
42,445,1,5,0,67,secondary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
34,243,1,5,0,291,secondary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
33,307,2,5,0,309,secondary,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
38,155,1,5,0,248,secondary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
50,173,1,5,0,98,tertiary,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
43,400,1,5,0,256,tertiary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
61,1428,2,5,0,82,primary,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
47,219,1,5,0,577,secondary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
48,7,1,5,0,286,tertiary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
44,575,1,5,0,477,secondary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
35,0,1,5,0,471,secondary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
50,5699,2,5,0,381,secondary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
41,176,1,5,0,42,tertiary,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
41,517,1,5,0,251,tertiary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
42,56,1,5,0,215,secondary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
38,-390,1,5,0,287,secondary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
53,330,2,5,0,216,secondary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
59,195,2,5,0,366,primary,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
36,301,1,5,0,210,secondary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
54,-41,1,5,0,288,primary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
40,483,1,5,0,168,tertiary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
46,965,1,5,0,177,primary,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
39,378,2,5,0,127,tertiary,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
40,219,1,5,0,357,secondary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
28,324,1,5,0,175,primary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
35,-69,1,5,0,300,secondary,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
55,0,1,5,0,136,secondary,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
48,278,2,5,0,125,primary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
33,34,1,5,0,27,tertiary,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
53,1467,1,5,0,124,secondary,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
47,-12,1,5,0,18,primary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
31,388,2,5,0,730,secondary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
57,294,2,5,0,746,secondary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
55,627,1,5,0,247,primary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
45,25,1,5,0,40,primary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
53,315,2,5,0,181,secondary,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
37,0,1,5,0,79,primary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
44,66,1,5,0,206,secondary,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
49,-9,1,5,0,389,primary,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
46,349,1,5,0,127,secondary,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
38,0,1,5,0,151,secondary,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
43,434,1,5,0,117,secondary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
49,3237,3,5,0,232,tertiary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
22,0,2,5,0,179,secondary,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
40,207,1,5,0,39,tertiary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
39,483,1,5,0,282,secondary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
51,2248,2,5,0,714,secondary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
49,428,1,5,0,50,secondary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
53,0,1,5,0,181,secondary,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
34,0,1,5,0,142,secondary,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
33,140,1,5,0,227,secondary,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
50,297,1,5,0,119,tertiary,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
39,279,1,5,0,361,primary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
59,901,3,5,0,73,secondary,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
30,2573,2,5,0,67,secondary,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
36,143,1,5,0,350,secondary,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
40,475,2,5,0,332,secondary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
53,70,2,5,0,611,secondary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
34,318,2,5,0,113,tertiary,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
37,275,1,5,0,132,secondary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
42,742,3,5,0,58,tertiary,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
41,236,1,5,0,151,primary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
30,25,2,5,0,89,tertiary,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
37,600,1,5,0,152,tertiary,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
39,-349,2,5,0,611,secondary,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
